RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE	DISPLAY	NAME_RANK	NAME_LINK	TRANSL_CD	NM_MODIFY_DATE	F_EFCTV_DT	F_TERM_DT
1	-2599498	-3575171	55.9	-4.75	55:54:00N	4:45:00W	30UUG9058196334	NN30-01	A	ADM1		UK	V4				N				INVERCLYDE	Inverclyde	Inverclyde	INVERCLYDE	Inverclyde	Inverclyde		2001-09-20	1,2,3,4,5,6,7	1			1993-09-01		
1	-2604328	-3581141	56.583333	-5.2	56:35:00N	5:12:00W	30VUH6487873172	NO30-10	A	ADMD		UK	T8				N				NORTHLORN	North Lorn	North Lorn	NORTHLORN	North Lorn	North Lorn		2004-10-15	1,2,3,4,5	1			1993-09-01		
1	-2600264	-3576106	56.25	-3.416667	56:15:00N	3:25:00W	30VVH7418133983	NO30-11	A	ADM2		UK	W1				N		Kinross		KINROSSSHIRE	Kinross-shire	Kinross-shire	KINROSSSHIRE	Kinross-shire	Kinross-shire		2004-10-12	1,2,3,4,5	1			1993-09-01		
1	-2600264	-3576103	56.25	-3.416667	56:15:00N	3:25:00W	30VVH7418133983	NO30-11	A	ADM2		UK	W1				V				KINROSS	Kinross	Kinross	KINROSS	Kinross	Kinross		2004-10-12	1,2,3,4,5				1993-09-01		
1	-2600264	-3576105	56.25	-3.416667	56:15:00N	3:25:00W	30VVH7418133983	NO30-11	A	ADM2		UK	W1				V				KINROSSCOUNTY	Kinross County	Kinross County	KINROSSCOUNTY	Kinross County	Kinross County		2004-10-12	1,2,3,4,5				1993-09-01		
1	-2604717	-3581617	59	-3	59:00:00N	3:00:00W	30VWL0000040052	NO30-02	A	ADM1		UK	V9				V				ORKNEYISLANDSAREA	Orkney Islands Area	Orkney Islands Area	ORKNEYISLANDSAREA	Orkney Islands Area	Orkney Islands Area		2004-09-24	1,2,3,4,5,6,7				1993-09-01		
1	-2604717	6086854	59	-3	59:00:00N	3:00:00W	30VWL0000040052	NO30-02	A	ADM1		UK	V9				V				ORKNEY	Orkney	Orkney	ORKNEY	Orkney	Orkney		2004-09-24	1,2,3,4,5,6,7				1993-09-01		
1	-2604717	6086855	59	-3	59:00:00N	3:00:00W	30VWL0000040052	NO30-02	A	ADM1		UK	V9				N				ORKNEYISLANDS	Orkney Islands	Orkney Islands	ORKNEYISLANDS	Orkney Islands	Orkney Islands		2004-09-24	1,2,3,4,5,6,7	1			1993-09-01		
1	-2591558	-3565363	58.416667	-3.5	58:25:00N	3:30:00W	30VVK7079075209	NO30-05	A	ADM2		UK	V3				N		Caithness		CAITHNESSSHIRE	Caithness-shire	Caithness-shire	CAITHNESSSHIRE	Caithness-shire	Caithness-shire		2004-09-22	1,2,3,4,5	1			1993-09-01		
1	-2591558	-3565362	58.416667	-3.5	58:25:00N	3:30:00W	30VVK7079075209	NO30-05	A	ADM2		UK	V3				V				CAITHNESSCOUNTY	Caithness County	Caithness County	CAITHNESSCOUNTY	Caithness County	Caithness County		2004-09-22	1,2,3,4,5				1993-09-01		
1	-2591558	-3565361	58.416667	-3.5	58:25:00N	3:30:00W	30VVK7079075209	NO30-05	A	ADM2		UK	V3				V				CAITHNESS	Caithness	Caithness	CAITHNESS	Caithness	Caithness		2004-09-22	1,2,3,4,5				1993-09-01		
1	-2609145	-3587061	58.25	-4.5	58:15:00N	4:30:00W	30VVK1195957524	NO30-04	A	ADM2		UK	V3				N		Sutherland		SUTHERLANDSHIRE	Sutherlandshire	Sutherlandshire	SUTHERLANDSHIRE	Sutherlandshire	Sutherlandshire		2004-09-22	1,2,3,4,5	1			1993-09-01		
1	-2609145	-3587058	58.25	-4.5	58:15:00N	4:30:00W	30VVK1195957524	NO30-04	A	ADM2		UK	V3				V				SUTHERLAND	Sutherland	Sutherland	SUTHERLAND	Sutherland	Sutherland		2004-09-22	1,2,3,4,5				1993-09-01		
1	-2609145	-3587060	58.25	-4.5	58:15:00N	4:30:00W	30VVK1195957524	NO30-04	A	ADM2		UK	V3				V				SUTHERLANDCOUNTY	Sutherland County	Sutherland County	SUTHERLANDCOUNTY	Sutherland County	Sutherland County		2004-09-22	1,2,3,4,5				1993-09-01		
1	-2590401	6086934	55.583333	-2.833333	55:35:00N	2:50:00W	30UWG1050659720	NN30-02	A	ADM1		UK	T9				V				BORDERS	Borders	Borders	BORDERS	Borders	Borders		2001-09-20	1,2,3,4,5,6,7				1993-09-01		
1	-2590401	6086935	55.583333	-2.833333	55:35:00N	2:50:00W	30UWG1050659720	NN30-02	A	ADM1		UK	T9				N				THESCOTTISHBORDERS	The Scottish Borders	The Scottish Borders	SCOTTISHBORDERS THE	Scottish Borders, The	Scottish Borders, The		2001-09-20	1,2,3,4,5,6,7	1			1993-09-01		
1	-2590401	-3563964	55.583333	-2.833333	55:35:00N	2:50:00W	30UWG1050659720	NN30-02	A	ADM1		UK	T9				V				BORDERSREGION	Borders Region	Borders Region	BORDERSREGION	Borders Region	Borders Region		2001-09-20	1,2,3,4,5,6,7				1993-09-01		
1	-2606148	-3583370	55.833333	-4.5	55:50:00N	4:30:00W	30UVG0605088548	NN30-01	A	ADM1		UK	W2				N				RENFREWSHIRE	Renfrewshire	Renfrewshire	RENFREWSHIRE	Renfrewshire	Renfrewshire		2001-09-20	1,2,3,4,5,6,7	1			1993-09-01		
1	-2606148	-3583367	55.833333	-4.5	55:50:00N	4:30:00W	30UVG0605088548	NN30-01	A	ADM1		UK	W2				V				RENFREW	Renfrew	Renfrew	RENFREW	Renfrew	Renfrew		2001-09-20	1,2,3,4,5,6,7				1993-09-01		
1	-2606148	6086846	55.833333	-4.5	55:50:00N	4:30:00W	30UVG0605088548	NN30-01	A	ADM1		UK	W2				V				RENFREW	Renfrew	Renfrew	RENFREW	Renfrew	Renfrew		2001-09-20	1,2,3,4,5,6,7				1993-09-01		
1	-2606148	-3583369	55.833333	-4.5	55:50:00N	4:30:00W	30UVG0605088548	NN30-01	A	ADM1		UK	W2				V				RENFREWCOUNTY	Renfrew County	Renfrew County	RENFREWCOUNTY	Renfrew County	Renfrew County		2001-09-20	1,2,3,4,5,6,7				1993-09-01		
1	-2608743	-3586572	56.25	-4.25	56:15:00N	4:15:00W	30VVH2254734607	NO30-10	A	ADM1		UK	W6				V				STIRLINGSHIRE	Stirlingshire	Stirlingshire	STIRLINGSHIRE	Stirlingshire	Stirlingshire		2001-09-20	1,2,3,4,5,6,7				1993-09-01		
1	-2608743	-3586571	56.25	-4.25	56:15:00N	4:15:00W	30VVH2254734607	NO30-10	A	ADM1		UK	W6				V				STIRLINGCOUNTY	Stirling County	Stirling County	STIRLINGCOUNTY	Stirling County	Stirling County		2001-09-20	1,2,3,4,5,6,7				1993-09-01		
1	-2608743	-3586569	56.25	-4.25	56:15:00N	4:15:00W	30VVH2254734607	NO30-10	A	ADM1		UK	W6				N				STIRLING	Stirling	Stirling	STIRLING	Stirling	Stirling		2001-09-20	1,2,3,4,5,6,7	1			2013-02-15		
1	-2588278	-3590879	53.25	-4.333333	53:15:00N	4:20:00W	30UVE1104000911	NN30-07	A	ADM1		UK	X1				V				YNYSMON	Ynys Môn	Ynys Mon	YNYSMON	Ynys Môn	Ynys Mon		2001-09-20	1,2,3,4,5,6,7				1993-09-01		
1	-2588278	-3561267	53.25	-4.333333	53:15:00N	4:20:00W	30UVE1104000911	NN30-07	A	ADM1		UK	X1				V				ANGLESEA	Anglesea	Anglesea	ANGLESEA	Anglesea	Anglesea		2001-09-20	1,2,3,4,5,6,7				1993-09-01		
1	-2588278	-3561269	53.25	-4.333333	53:15:00N	4:20:00W	30UVE1104000911	NN30-07	A	ADM1		UK	X1				V				ANGLESEY	Anglesey	Anglesey	ANGLESEY	Anglesey	Anglesey		2001-09-20	1,2,3,4,5,6,7				1993-09-01		
1	-2588278	6086947	53.25	-4.333333	53:15:00N	4:20:00W	30UVE1104000911	NN30-07	A	ADM1		UK	X1				N	eng			ISLEOFANGLESEY	Isle of Anglesey	Isle of Anglesey	ISLEOFANGLESEY	Isle of Anglesey	Isle of Anglesey		2001-09-20	1,2,3,4,5,6,7	1			1993-09-01		
1	-2588278	6086946	53.25	-4.333333	53:15:00N	4:20:00W	30UVE1104000911	NN30-07	A	ADM1		UK	X1				N	cym			SIRYNYSMON	Sir Ynys Môn	Sir Ynys Mon	YNYSMON SIR	Ynys Môn, Sir	Ynys Mon, Sir		2001-09-20	1,2,3,4,5,6,7	2			1993-09-01		
1	-2611742	-3590197	54.6	-4.833333	54:36:00N	4:50:00W	30UUF8156751826	NN30-04	A	ADM2		UK	00				N		Wigtown		WIGTOWNSHIRE	Wigtownshire	Wigtownshire	WIGTOWNSHIRE	Wigtownshire	Wigtownshire		1994-01-13	1,2,3,4,5	1			1993-09-01		
1	-2611742	-3590194	54.6	-4.833333	54:36:00N	4:50:00W	30UUF8156751826	NN30-04	A	ADM2		UK	00				V				WIGTOWNCOUNTY	Wigtown County	Wigtown County	WIGTOWNCOUNTY	Wigtown County	Wigtown County		1994-01-13	1,2,3,4,5				1993-09-01		
1	-2611742	-3589631	54.6	-4.833333	54:36:00N	4:50:00W	30UUF8156751826	NN30-04	A	ADM2		UK	00				V				WESTGALLOWAY	West Galloway	West Galloway	WESTGALLOWAY	West Galloway	West Galloway		1994-01-13	1,2,3,4,5				1993-09-01		
1	-2592632	-3566718	56.166667	-3.75	56:10:00N	3:45:00W	30VVH5342624883	NO30-11	A	ADM1		UK	U1				V				CLACKMANNANCOUNTY	Clackmannan County	Clackmannan County	CLACKMANNANCOUNTY	Clackmannan County	Clackmannan County		2001-09-20	1,2,3,4,5,6,7				1993-09-01		
1	-2592632	-3566719	56.166667	-3.75	56:10:00N	3:45:00W	30VVH5342624883	NO30-11	A	ADM1		UK	U1				N				CLACKMANNANSHIRE	Clackmannanshire	Clackmannanshire	CLACKMANNANSHIRE	Clackmannanshire	Clackmannanshire		2001-09-20	1,2,3,4,5,6,7	1			1993-09-01		
1	-2592632	-3566716	56.166667	-3.75	56:10:00N	3:45:00W	30VVH5342624883	NO30-11	A	ADM1		UK	U1				V				CLACKMANNAN	Clackmannan	Clackmannan	CLACKMANNAN	Clackmannan	Clackmannan		2001-09-20	1,2,3,4,5,6,7				1993-09-01		
1	-2587759	-3560608	57.166667	-2.666667	57:10:00N	2:40:00W	30VWJ2015935988	NO30-08	A	ADM1		UK	T6				N				ABERDEENSHIRE	Aberdeenshire	Aberdeenshire	ABERDEENSHIRE	Aberdeenshire	Aberdeenshire		2004-10-06	1,2,3,4,5,6,7	1			1993-09-01		
1	-2587759	-3560604	57.166667	-2.666667	57:10:00N	2:40:00W	30VWJ2015935988	NO30-08	A	ADM1		UK	T6				V				ABERDEEN	Aberdeen	Aberdeen	ABERDEEN	Aberdeen	Aberdeen		2004-10-06	1,2,3,4,5,6,7				1993-09-01		
1	-2587759	-3560607	57.166667	-2.666667	57:10:00N	2:40:00W	30VWJ2015935988	NO30-08	A	ADM1		UK	T6				V				ABERDEENCOUNTY	Aberdeen County	Aberdeen County	ABERDEENCOUNTY	Aberdeen County	Aberdeen County		2004-10-06	1,2,3,4,5,6,7				1993-09-01		
1	-2587759	6086948	57.166667	-2.666667	57:10:00N	2:40:00W	30VWJ2015935988	NO30-08	A	ADM1		UK	T6				V				ABERDEEN	Aberdeen	Aberdeen	ABERDEEN	Aberdeen	Aberdeen		2004-10-06	1,2,3,4,5,6,7				1993-09-01		
1	-2596147	-3571082	56.333333	-3	56:20:00N	3:00:00W	30VWH0000043180	NO30-11	A	ADM2		UK	V1				V				FIFECONTY	Fife Conty	Fife Conty	FIFECONTY	Fife Conty	Fife Conty		2004-10-12	1,2,3,4,5				1993-09-01		
1	-2596147	-3571081	56.333333	-3	56:20:00N	3:00:00W	30VWH0000043180	NO30-11	A	ADM2		UK	V1				V				FIFE	Fife	Fife	FIFE	Fife	Fife		2004-10-12	1,2,3,4,5				1993-09-01		
1	-2596147	-3571086	56.333333	-3	56:20:00N	3:00:00W	30VWH0000043180	NO30-11	A	ADM2		UK	V1				N		Fife		FIFESHIRE	Fifeshire	Fifeshire	FIFESHIRE	Fifeshire	Fifeshire		2004-10-12	1,2,3,4,5	1			1993-09-01		
1	-2596146	-3571085	56.25	-3.166667	56:15:00N	3:10:00W	30VVH8967333917	NO30-11	A	ADM1		UK	V1				V				FIFEREGION	Fife Region	Fife Region	FIFEREGION	Fife Region	Fife Region		2001-09-20	1,2,3,4,5,6,7				1993-09-01		
1	-2596146	6086897	56.25	-3.166667	56:15:00N	3:10:00W	30VVH8967333917	NO30-11	A	ADM1		UK	V1				N				FIFE	Fife	Fife	FIFE	Fife	Fife		2001-09-20	1,2,3,4,5,6,7	1			1993-09-01		
1	-2600107	-3575916	56.916667	-2.5	56:55:00N	2:30:00W	30VWJ3044208221	NO30-11	A	ADM2		UK	T6				V				KINCARDINECOUNTY	Kincardine County	Kincardine County	KINCARDINECOUNTY	Kincardine County	Kincardine County		2004-10-07	1,2,3,4,5				1993-09-01		
1	-2600107	-3575912	56.916667	-2.5	56:55:00N	2:30:00W	30VWJ3044208221	NO30-11	A	ADM2		UK	T6				V				KINCARDINE	Kincardine	Kincardine	KINCARDINE	Kincardine	Kincardine		2004-10-07	1,2,3,4,5				1993-09-01		
1	-2600107	-3579255	56.916667	-2.5	56:55:00N	2:30:00W	30VWJ3044208221	NO30-11	A	ADM2		UK	T6				V				MEARNS	Mearns	Mearns	MEARNS	Mearns	Mearns		2004-10-07	1,2,3,4,5				1993-09-01		
1	-2600107	-3575918	56.916667	-2.5	56:55:00N	2:30:00W	30VWJ3044208221	NO30-11	A	ADM2		UK	T6				N		Kincardine		KINCARDINESHIRE	Kincardineshire	Kincardineshire	KINCARDINESHIRE	Kincardineshire	Kincardineshire		2004-10-07	1,2,3,4,5	1			1993-09-01		
1	-2594814	-3569468	55.083333	-3.833333	55:05:00N	3:50:00W	30UVG4680404382	NN30-02	A	ADM1		UK	U2				V				DUMFRIESANDGALLOWAYREGION	Dumfries and Galloway Region	Dumfries and Galloway Region	DUMFRIESANDGALLOWAYREGION	Dumfries and Galloway Region	Dumfries and Galloway Region		2001-09-20	1,2,3,4,5,6,7				1993-09-01		
1	-2594814	6086905	55.083333	-3.833333	55:05:00N	3:50:00W	30UVG4680404382	NN30-02	A	ADM1		UK	U2				N				DUMFRIESANDGALLOWAY	Dumfries and Galloway	Dumfries and Galloway	DUMFRIESANDGALLOWAY	Dumfries and Galloway	Dumfries and Galloway		2001-09-20	1,2,3,4,5,6,7	1			2013-02-15		
1	-2594810	-3569463	56	-4.583333	56:00:00N	4:35:00W	30VVH0125607211	NO30-10	A	ADM2		UK	W7				N		Dumbarton		DUMBARTONDISTRICT	Dumbarton District	Dumbarton District	DUMBARTONDISTRICT	Dumbarton District	Dumbarton District		2004-10-14	1,2,3,4,5	1			1993-09-01		
